                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4807,                 1.3572,                 1.7023,                0.61357,                0.58698,                0.61842,                0.37264,                 1.3939,                 1.2412,                 1.6893,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.4706,                 1.3395,                 1.6933,                0.60397,                0.59894,                0.60782,                0.36566,                 1.3909,                 1.2334,                 1.7097,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.4375,                 1.3196,                 1.6544,                0.58705,                0.57704,                0.58791,                0.34963,                  1.398,                 1.2741,                 1.6822,               0.001307,               0.001307,               0.001307
                     37,                 1.4765,                 1.3412,                 1.6834,                0.54074,                0.59894,                0.55576,                0.32496,                 1.4021,                 1.3132,                 1.6848,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.4672,                 1.3599,                 1.6895,                0.60329,                0.59894,                 0.6128,                0.36208,                 1.3982,                 1.2151,                 1.7046,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.4581,                  1.352,                 1.6749,                0.59887,                0.59907,                0.61759,                0.37348,                 1.3732,                 1.2426,                  1.683,              0.0012476,              0.0012476,              0.0012476
                     40,                  1.424,                 1.3197,                 1.6538,                0.58895,                0.58907,                0.60142,                0.35635,                 1.3914,                 1.2864,                 1.7088,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.4507,                 1.3163,                 1.6777,                0.62424,                0.61629,                0.63877,                0.38632,                 1.3803,                 1.1704,                   1.67,               0.001208,               0.001208,               0.001208
                     42,                 1.4317,                 1.3025,                 1.6445,                 0.6118,                0.62313,                0.62943,                0.37977,                 1.3603,                 1.2012,                 1.6701,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.4362,                 1.2974,                 1.6504,                0.61967,                0.62636,                0.63019,                0.37823,                   1.36,                 1.1934,                 1.6601,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.4162,                 1.2707,                 1.6346,                0.58467,                0.62576,                0.61569,                0.37106,                 1.3548,                 1.3344,                 1.6696,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.4177,                  1.278,                 1.6407,                0.64153,                0.63419,                0.66019,                0.40368,                 1.3447,                  1.143,                 1.6572,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.4069,                 1.2307,                 1.6449,                0.66459,                0.63453,                0.67233,                0.41448,                 1.3316,                 1.1075,                 1.6298,               0.001109,               0.001109,               0.001109
                     47,                 1.4099,                 1.2595,                 1.6327,                0.63794,                 0.6339,                0.65251,                0.40287,                 1.3235,                 1.1732,                 1.6381,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.3945,                 1.2396,                 1.6215,                0.65525,                 0.6459,                 0.6812,                0.42463,                 1.2989,                 1.0762,                 1.6222,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.4059,                   1.25,                 1.6235,                0.64852,                0.64074,                0.66767,                0.41928,                 1.3063,                 1.0949,                  1.619,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.3924,                 1.2494,                 1.6191,                0.64475,                0.64489,                0.66904,                0.42012,                 1.3136,                  1.094,                 1.6184,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.3966,                 1.2022,                 1.6158,                0.64515,                0.63595,                0.66803,                0.41398,                 1.3115,                 1.1011,                 1.6222,                0.00101,                0.00101,                0.00101
                     52,                  1.385,                 1.2198,                 1.6153,                0.64789,                0.66984,                0.69552,                0.42977,                 1.3097,                  1.066,                 1.6172,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.3845,                 1.1798,                 1.6094,                0.66534,                0.65735,                0.69579,                0.43547,                 1.2901,                 1.0647,                 1.5957,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.3493,                 1.1788,                 1.5905,                0.64651,                0.63759,                 0.6741,                0.41576,                 1.3142,                  1.095,                 1.6063,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.3716,                  1.226,                 1.6031,                0.67595,                0.66328,                0.70348,                0.44294,                 1.2844,                 1.0544,                 1.5918,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.3826,                 1.2245,                 1.5924,                0.64795,                0.66465,                0.69819,                0.44008,                  1.278,                 1.0705,                  1.592,               0.000911,               0.000911,               0.000911
                     57,                 1.3676,                 1.1899,                 1.5972,                0.69531,                0.67938,                0.72018,                0.45636,                 1.2716,                 1.0221,                 1.5788,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.3541,                 1.1848,                 1.5776,                0.67774,                0.66741,                0.70803,                0.44608,                 1.2688,                 1.0366,                 1.5837,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.3286,                  1.161,                 1.5552,                0.67108,                0.66571,                 0.7059,                0.44015,                 1.2745,                 1.0749,                 1.5828,              0.0008516,              0.0008516,              0.0008516
                     60,                  1.344,                 1.1647,                 1.5755,                0.71002,                0.67649,                0.74257,                0.46885,                 1.2568,                0.99045,                 1.5703,              0.0008318,              0.0008318,              0.0008318
